2.6651 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
106.1940 	EXP 	fixation: autoDraw = True
107.1800 	EXP 	grating: autoDraw = True
107.1800 	EXP 	grating: tex = 'sin'
107.1971 	EXP 	fixation: autoDraw = False
107.4812 	EXP 	grating: autoDraw = False
107.6009 	EXP 	window1: recordFrameIntervals = False
107.6034 	DATA 	Keypress: left
107.6142 	EXP 	fixation: autoDraw = False
107.6142 	EXP 	grating: autoDraw = False
107.6143 	EXP 	window1: recordFrameIntervals = False
108.6171 	EXP 	fixation: autoDraw = True
109.6036 	EXP 	grating: autoDraw = True
109.6036 	EXP 	grating: tex = 'sin'
109.6207 	EXP 	fixation: autoDraw = False
109.9041 	EXP 	grating: autoDraw = False
110.0396 	EXP 	window1: recordFrameIntervals = False
110.0411 	DATA 	Keypress: left
110.0543 	EXP 	fixation: autoDraw = False
110.0543 	EXP 	grating: autoDraw = False
110.0544 	EXP 	window1: recordFrameIntervals = False
111.0569 	EXP 	fixation: autoDraw = True
112.0429 	EXP 	grating: autoDraw = True
112.0429 	EXP 	grating: tex = 'sin'
112.0598 	EXP 	fixation: autoDraw = False
112.3442 	EXP 	grating: autoDraw = False
112.4458 	EXP 	window1: recordFrameIntervals = False
112.4473 	DATA 	Keypress: right
112.4606 	EXP 	fixation: autoDraw = False
112.4606 	EXP 	grating: autoDraw = False
112.4608 	EXP 	window1: recordFrameIntervals = False
113.4635 	EXP 	fixation: autoDraw = True
114.4495 	EXP 	grating: autoDraw = True
114.4495 	EXP 	grating: tex = 'sin'
114.4665 	EXP 	fixation: autoDraw = False
114.7506 	EXP 	grating: autoDraw = False
114.8051 	EXP 	window1: recordFrameIntervals = False
114.8084 	DATA 	Keypress: right
114.8167 	EXP 	fixation: autoDraw = False
114.8167 	EXP 	grating: autoDraw = False
114.8169 	EXP 	window1: recordFrameIntervals = False
115.8198 	EXP 	fixation: autoDraw = True
116.8056 	EXP 	grating: autoDraw = True
116.8056 	EXP 	grating: tex = 'sin'
116.8226 	EXP 	fixation: autoDraw = False
117.1068 	EXP 	grating: autoDraw = False
117.1919 	EXP 	window1: recordFrameIntervals = False
117.1937 	DATA 	Keypress: left
117.2067 	EXP 	fixation: autoDraw = False
117.2067 	EXP 	grating: autoDraw = False
117.2068 	EXP 	window1: recordFrameIntervals = False
118.2093 	EXP 	fixation: autoDraw = True
119.1952 	EXP 	grating: autoDraw = True
119.1952 	EXP 	grating: tex = 'sin'
119.2124 	EXP 	fixation: autoDraw = False
119.4966 	EXP 	grating: autoDraw = False
119.5322 	EXP 	window1: recordFrameIntervals = False
119.5344 	DATA 	Keypress: right
119.5466 	EXP 	fixation: autoDraw = False
119.5466 	EXP 	grating: autoDraw = False
119.5468 	EXP 	window1: recordFrameIntervals = False
120.5490 	EXP 	fixation: autoDraw = True
121.5353 	EXP 	grating: autoDraw = True
121.5353 	EXP 	grating: tex = 'sin'
121.5523 	EXP 	fixation: autoDraw = False
121.8361 	EXP 	grating: autoDraw = False
122.2060 	EXP 	window1: recordFrameIntervals = False
122.2082 	DATA 	Keypress: right
122.2204 	EXP 	fixation: autoDraw = False
122.2204 	EXP 	grating: autoDraw = False
122.2206 	EXP 	window1: recordFrameIntervals = False
123.2228 	EXP 	fixation: autoDraw = True
124.2088 	EXP 	grating: autoDraw = True
124.2088 	EXP 	grating: tex = 'sin'
124.2255 	EXP 	fixation: autoDraw = False
124.5101 	EXP 	grating: autoDraw = False
124.7466 	EXP 	window1: recordFrameIntervals = False
124.7487 	DATA 	Keypress: right
124.7608 	EXP 	fixation: autoDraw = False
124.7608 	EXP 	grating: autoDraw = False
124.7610 	EXP 	window1: recordFrameIntervals = False
125.7628 	EXP 	fixation: autoDraw = True
126.7491 	EXP 	grating: autoDraw = True
126.7491 	EXP 	grating: tex = 'sin'
